gaussian,mean
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369782,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.0222609,0.503565
-0.166711,0.407424
-0.369781,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369782,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.0222609,0.503565
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369782,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503565
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.0222611,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.0222611,0.503566
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369782,0.308065
-0.166711,0.407424
0.0222611,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503565
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.0222611,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503565
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369782,0.308065
-0.166711,0.407424
0.0222609,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.0222609,0.503565
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369782,0.308065
-0.166711,0.407424
0.0222609,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503565
-0.166711,0.407424
-0.369781,0.308065
-0.465122,0.262571
-0.369782,0.308065
-0.166711,0.407424
0.0222611,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369782,0.308065
-0.166711,0.407424
0.0222611,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503565
-0.166711,0.407424
-0.369781,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.0222611,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609798
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369781,0.308065
-0.465122,0.262571
-0.369781,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609797
0.150699,0.571598
0.022261,0.503565
-0.166711,0.407424
-0.369782,0.308065
-0.465122,0.262571
-0.369782,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
0.242072,0.621931
0.220398,0.609798
0.150699,0.571598
0.022261,0.503566
-0.166711,0.407424
-0.369781,0.308065
-0.465122,0.262571
-0.369782,0.308065
-0.166711,0.407424
0.022261,0.503566
0.150699,0.571598
0.220398,0.609797
